5889,Hostel Bruegel,The breakfast was simple but good . Location was good but i felt little scary at times,The shower situation was really really bad. They need to change it ..,8.3
5440,Hostel Bruegel,Clean big rooms great breakfast and nice stuffs.,Nothing,9.6
7720,Hostel Bruegel,breakfast was great and felt that the hostel was super modern. Well designed.,"the size of the lockers were a bit tricky, it didn't fit my bag but other than that i was great.",10
7067,Hostel Bruegel,"Everything was good - nice room with a desk, clean, with perfect location, easy check-in.",The only missing thing in this hostel is some kind of a kitchen that could be used by guests (to make a tea or a sandwitch).,10
7734,Hostel Bruegel,"If you reserve early enough, you will get a fantastic double-bed room on the 4th floor!!",,10
5905,Hostel Bruegel,Breakfast and location are good. :),Noise from outside when you open your window.,9.2
8304,Hostel Bruegel,Very decent hostel in the Brussels city center.,No complaints!,9.2
