8283,Hotel Minsk,Perfect location in the heart of Minsk,Too expensive breakfast,10
9432,Hotel Minsk,Location,"Service,bed restaurant and bar,no food services at night",5.4
9334,Hotel Minsk,Location is very good. Rooms are clean.,Hotel is quite old. I think renovation is a must.,6.7
9247,Hotel Minsk,"I was given suite instead of superior double room, the size of rhe bathroom and water wash of the toilet.","Room number 210 has really dirty carpet with white and black spots all around the room, also I saw some insects in the room.  I think  because room is  dirty the have prompted my room to suite. The staff reception should give the best room to the customer not the bad. Food menu not in English.",6.3
8595,Hotel Minsk,Location of the hotel and hair conditioner :),,7.9
9400,Hotel Minsk,very good location and good facility,be fully aware of your amount of the payment and exchange rate.,7.1
8126,Hotel Minsk,I thoroughly enjoyed everything of the Minsk hotel and will be back to stay. I like the late night 24hr bar as I think its great for hotel patrons. Dont lose that.,Not much,9.5
