25599,Century Hotel Antwerpen Centrum,It's right across the central station and is close to the city center but is not within a lot of noise.,"Doors closed very loudly, and there is barely any soundproofing, so if you are a light sleeper, you will have a hard time sleeping through it in the morning. The beds were very soft, so that might be uncomfortable for some.",5
25575,Century Hotel Antwerpen Centrum,breakfast OK good location of the hotel,poor cleanlinnes not very pleasant staff,3
26151,Century Hotel Antwerpen Centrum,,"The bed had a bad smell.
All other things were ok, but slepping at that bed was a bit gross.",5
25565,Century Hotel Antwerpen Centrum,"Great locations, not far from thw train and bus stations in the hearth of the City.starf are nice ans friendly",More effort in room cleaning,10
25476,Century Hotel Antwerpen Centrum,Very friendly stuff on the lobby.,"No Mini Bar in the Room. Carpets in the Room have to be changed. 
In the Restaurant stuff have to react quicker when something missing,  because,  everything missing,  started with refilling of food till juice. I lost my 9,5 euros,  but never mind. ",9
24709,Century Hotel Antwerpen Centrum,Location was fine,Room did not have tea & coffee making facilities Bed in room was unstable due to broken leg. Maintenance man did fix it for subsequent nights. Use of a hair drier required 10 euro deposit and collecting from reception each time it was needed.,6
24908,Century Hotel Antwerpen Centrum,The shower,Carpet was wet and dirty the next rooms costumer make lots of noise,7.9
