2552,B-aparthotel Ambiorix,The appart was good snd spacious,They toke the money twice from my account and i had to call many times for them to fix it,7.5
2589,B-aparthotel Ambiorix,"Room, equipment and neighbourhood with the goodies you may require to buy for an upkeep. Didn't need transportation to visit work places. Just walked in and out. ",Self Check-in quite challenging. No one physically present at the property to help at that time. Had to struggle on telephone outside in an unfriendly weather condition. Imagine if l didn't get the check-in directions by mail or lost them or had no credit to call immergency.,8.3
2545,B-aparthotel Ambiorix,,"Too much parfum in hall and on steps, second floor in door scratch of floor and make noise,",9
2513,B-aparthotel Ambiorix,"Good and comfortable location, comfortable room. ","The furniture is little bit too old and the cleanlenessis doubtable, but all in all it is ok.",8
2602,B-aparthotel Ambiorix,"I called the service Manager cause of a little problem and sent someone to sort out the door in between 2 rooms within 5 mn on a bank holiday, thank a lot to sort it out s fast",,8
2491,B-aparthotel Ambiorix,Separate bedroom appreciated. Very spacious apartment for 2.,Furnishings a little dated. Especially carpet which has 2 iron burns and many cigarette ones.,7
2523,B-aparthotel Ambiorix,Nice apartment at a convenient location next to Schuman. Spacious place with a kitchenette. Very practical for longer stays. Friendly staff.,The bed is not comfortable and so are the pillows. It's an important minus to an overall positive impression.,7.9
