25214,Century Hotel Antwerpen Centrum,This was an ideal location across the street from Antwerp Central train station so getting around is very easy. The staff was friendly. The only downfall was that the mattresses are a bit thin but the price for the length of my stay was very good. The location itself is close to many restaurants and shops so there's a lot to do there!,Mattresses are a bit thin.,8.3
24433,Century Hotel Antwerpen Centrum,"Clean, center place, people nice, good price","The hotel wifi not good (couldn't connect my work VPN, whatsapp video call not working)
Chek-out time not clear sayng ""today"" without time
No car parking space",7
25034,Century Hotel Antwerpen Centrum,"Good location for transit, near the Central Station. ","Lack of elementary facilities : no hairdryer, fridge.",7.5
24947,Century Hotel Antwerpen Centrum,Location was great next to train station.,No air conditioning.,7.9
26207,Century Hotel Antwerpen Centrum,best location and safe place. Room is very good and clean. It is surprise with 2 rooms provided.,,10
25651,Century Hotel Antwerpen Centrum,Location is great.,Beds are not comfortable. Noisy environment. Can hear the cars passing by easily.,5
26019,Century Hotel Antwerpen Centrum,"The hotel was pleasantly staffed and comfortable, and in an excellent location.",Sometimes there was much noise from guests returning after a night out.,8.8
