19861,Albert Moliere,"Location is good! 5 stops from Bruxelles Midi, very convenient. The breakfast is also great. ",Nothing,7.5
19587,Albert Moliere,"Really helpful staff, very clean room, variety of local beers in the fridge, great breakfast. ",,10
19476,Albert Moliere,"Beautiful house nice decorated with high ceilings. We enjoyed very much our stay here. 
",,9
20013,Albert Moliere,"The B&B was located conveniently next to a metro stop, so we were able to be anywhere in the city within minutes. Paul, the owner, had already loaded tickets onto a metro card for us, so that we could immediately get to our sightseeing. Breakfast was simple but very tasty and we were made to feel very comfortable.",,9.2
20163,Albert Moliere,the character: elegance and authenticity with style,,10
20127,Albert Moliere,Very charming; decorated and furnished in keeping with the age and style of the building,A bit noisy as the trams are just outside,8.8
19875,Albert Moliere,The room and the building are elegant and beautiful.,,9.6
