18803,Citadines Sainte Catherine Brussels,Breakfast was extremely good and the location could not be better,During our 5 day stay the towels were never changed. We knew about the cleaning of the room was only after 6 nights but clean towels?,9.5
20308,Citadines Sainte Catherine Brussels,"Perfect location in center, few minutes from Grand Markt. Metro station is in front of hotel. Clean big room, very comfortable bed. Helpful staff.",,10
19408,Citadines Sainte Catherine Brussels,"Close to the train station, good restaurant options around the hotel",Breakfast was below average,8.8
19986,Citadines Sainte Catherine Brussels,Great location for Xmas markets. Great room for the price with everything we needed. Walking distance to main town centre shops and lots of attractions. Great cafes and restaurants on the same street.,,10
19046,Citadines Sainte Catherine Brussels,"Location is great. 10 minutes walking to Grand Place an 15 minutes to Central Station.
Beds were big and comfortable.
Assorted kitchenware available. ",Maybe price for breakfast is a bit high but there is plenty of options in the area and of course you can prepare your own meals at the apartment,9.2
20573,Citadines Sainte Catherine Brussels,"The location is great, walking distance to the centre and right beside metro",The toilets are dirty,6.7
20156,Citadines Sainte Catherine Brussels,The lobby was nice.,Dirty.  Sparse.  Checked in and checked out early.,3
