26,Hotel Saint Sauveur by WP Hotels,"Excellent breakfast Very professional staff, ready to help to get your preferred room if you already went at this hotel.",,9.2
12,Hotel Saint Sauveur by WP Hotels,"Bath a bit high to get out of, otherwise good comfortable room",Would have like more coffee and some tea available in the room,7.5
182,Hotel Saint Sauveur by WP Hotels,"good location, spacious room, good beds, good breakfast, friendly personnel",I had trouble sleeping because of noises on the street,9.2
136,Hotel Saint Sauveur by WP Hotels,"Excellent service, friendly receptionist, exceptionally good variety breakfast, close to everything in city centre, i.e. shopping, beach, restaurants, pleasant pool",Pool could be better cleaned,9.5
148,Hotel Saint Sauveur by WP Hotels,,"It wasn't clean, there was mold, rust and generally in need of repairs & deep-cleaning. ",3.8
100,Hotel Saint Sauveur by WP Hotels,,,9.6
171,Hotel Saint Sauveur by WP Hotels,"Breakfast, comfort in the room,quiet place","Bathroom equipment of poor quality,  reception personnel has a  lack of qualification",7.1
