24110,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Location perfect. Never had breakfast,No internet for half the stay,9
24716,Aparthotel Adagio Access Bruxelles Europe Aparthotel,easygoing place,bathroom drainage is bit blocked,10
24986,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"Very good location in the European District, easy to get there. Quickly check-in. The room was cozy and clean and is for the very first time when I can sleep from the first night in an unknown place.",It's not like I would not have liked something it just because in one night was a little noise cause near the location was paved a street. But not something to disturb our holidays.,9.6
24074,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"everything, friendly service, excellent location, quiet, although it is located in one of the busiest streets in Brussels",,9
24343,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Staff very friendly and helpful,Quiet part of the city on a Sunday,8
25512,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"Location, easy access with 24h reception.",Very basic and small rooms.,7.1
24145,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Breakfast was more then enough  Near all the beautiful sites of Brussels,,9
