25365,European institutions apartments,The bathroom heating panel doesn't work. When I asked where is the turn on/off button they replied is behind the panel but I looked everywhere there is no such button. They didn't bother to follow up with me.,No real person to provide the service,6.7
25491,European institutions apartments,"Great location, quiet, comfortable and something of an oasis amidst a busy week of meetings! ","The hosts were poor on their communication. I sent several emails about a query relating to early drop off of a bag, but received no response. ",9.2
25371,European institutions apartments,"Good location, parking availability, a comfortable size for 4 persons.","Not easy access from the underground car parking to the apartment, bathroom not equipped with any shelves, no hand soap in the bathroom, nothing to hang your coat at the entrance to the appartment",7
25439,European institutions apartments,Location in the EU district. Well connected to Airport and main stations. Clean and spacious.,Just had one small towel. Street a bit noisy.,7.5
25504,European institutions apartments,Nice place and location . I didn't see the host but we contacted via WhatsApp.,,7.9
25326,European institutions apartments,No fuss access - key was availble in the locker,,8
25391,European institutions apartments,"spacious, nice location, reasonable price.",little bit cold,8
