19911,Citadines Sainte Catherine Brussels,location,"basic facilities, no daily cleaning",5.4
18437,Citadines Sainte Catherine Brussels,It's in a great location,"The bedsheets were itchy, I literally have bites from what I don't know maybe from the itching or something. They sure can do better with the hygiene of the towels too.",7
19419,Citadines Sainte Catherine Brussels,We did not have breakfast,We did not have breakfast,7.9
20335,Citadines Sainte Catherine Brussels,"The location in the city centre, close to metro stations",,10
20351,Citadines Sainte Catherine Brussels,"Location was good. Central and in a trendy area.
Coffee machine free of use. Downstairs, tho, so not particularly convenient. ","Stuffy room. No air flow and little opportunity to open windows for air flow.
Staff were not particularly friendly. Not exactly rude: but not friendly and welcoming.
Bathroom floor was a bit sticky - yuk!
Breakfast expensive and didn't look particularly appetising. ",6.3
19760,Citadines Sainte Catherine Brussels,The location and the coffee maker in the lobby,I think breakfast is a beat expensive,9.6
20297,Citadines Sainte Catherine Brussels,"The location is great. One minute to metro, 10 minutes to the grand square, lots of restaurants cafe bars near by.",The staffs were not helpful with poor attitude. We lost a bag in the room while we changed the room. It got lost in the hotel and the front desk manager only said it was not found.,6.7
