23967,Tulip Inn Antwerpen,Clean room - good breakfast,"Close to the motorway - some background noise, even with closed windows",6.7
23803,Tulip Inn Antwerpen,Location and parking,People on the terrace at 2.30 am till 4.30 am. With open window this was noisy and smoke bothered us.,7
23817,Tulip Inn Antwerpen,Staff was really friendly. The lady that checked us in was accommodating and professional.,,9
23682,Tulip Inn Antwerpen,"The overall stay was good. Had a small problem with the room but was sorted straight away when they could not solve the problem by giving me another room. The staff were very friendly and helpful. The restaurant was not operating but they had a small takeaway menu that was ok.
The room was comfortable and clean. ",,8
24246,Tulip Inn Antwerpen,"24 hours reception, bar & staff","Breakfast low selection, room card not working several times..",5
23981,Tulip Inn Antwerpen,Staff assistance,"Comfort, cleanness, room size, bathroom",2
24274,Tulip Inn Antwerpen,.Very clean  functional and modern. Young friendly staff. Limited range of food but  all excellent. Great value for money. Good location  for city and aiport,,9.5
