21891,Hotel Adoma,Quick efficient checkin. Good value for money paid. Great room. Very close to St Pieters train station.,,10
21608,Hotel Adoma,Proximity with train station Warm welcome Good bed quality,Breakfast only starting from 7.00am where most of hotels start at least at 6.30,7
21747,Hotel Adoma,"Bed was okay, happy with two extra pillows as standard  and there was a nice bath. ","Breakfast only starts at 8am, no arcondition in the room",7.1
21882,Hotel Adoma,,I was very surprised there wasn't any coffee/tea available I'm out room,6
21678,Hotel Adoma,Very good location close to the train station and a reasonable walking distance to the centre of Ghent. Also very nice staff and a overall cozy atmosphere.,,9.2
21645,Hotel Adoma,"Great facilities, comfortable bed, great staff! Totally recommend!",,9.2
21570,Hotel Adoma,The beds and the bath are good,Parking is way too small. Easy to hear noise from railway station.,7
