23036,TripInn Eden Antwerp,"Although there was some problem with the conditioner in my first room, the staff help us to change the room.",,7
23087,TripInn Eden Antwerp,The location is fine. Breakfast was OK.,"We couldn't figure out how to turn off the heater/air conditioner completely during the night, which would have been nice, because the sound was bothering us.",7.9
21957,TripInn Eden Antwerp,"Location,nice peronal, parking (did not get breakfast), god size","Floor in room not clean, no fridge, a boring room",6
22154,TripInn Eden Antwerp,the bathroom was nice and clean and the hotel was very central,the bed is very uncomfortable and the rooms are not soundproof thus you can hear everything happening outside in the corridor. unfortuantely it affected my sleep a lot,6
22239,TripInn Eden Antwerp,The location is very good. 10 minutes walk to Antwerp Central station,Nothing to mention,8.3
22056,TripInn Eden Antwerp,,Air conditioning wasnt working and it was cold,7
22613,TripInn Eden Antwerp,Very well positioned. It is in the center near the shopping centers and the train station. Very friendly and welcoming staff! We recommend with warmth!,,10
