25114,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"I liked ease of check in and check out, calmness of the room, possibility to make a tea. There is also nice lobby. I did not try the breakfast. Satisfied.",,9.2
25525,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"Only the staff who was very nice 
","It was cat fish 
The pictures were from their sister property and we had too little time and just an overnight stay so no time to change for another property ",3.8
25039,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"Good location, supermarket and other shops close by. ","The shower curtain; sticky, challenge to keep the floor dry. ",7.9
24622,Aparthotel Adagio Access Bruxelles Europe Aparthotel,"Good sized room, quiet.","No tea or coffee in the room, though a kettle was there.",8
24338,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Great location. The center accessible by walking. Metro station 300m from hotel. Tasteful breakfast. Really helpful staff at reception. We appreciated a small kitchen in our room. Excellent choice for the money IMO.,,9
24926,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Good location for walking to meetings and for shops / parks at the weekend. The room was well lit with a good working space. Comfortable bed.,There was quite a lot of road traffic from Rue Bailliard. Next time I will ask for a quieter room. Additional clothes for washing and drying dishes would have been useful. Perhaps I should have asked!,10
24468,Aparthotel Adagio Access Bruxelles Europe Aparthotel,Friendly and helpful personel,Discomfort pillows,9.2
